buenos ,Año,Titulo,Serie/Pelicula,Día de la semana,Palabra 1,Palabra 2,Palabra 3,Palabra 4,Palabra 5,Palabra 6,Palabra 7,Palabra 8,Palabra 9,Palabra 10,Palabra 11,Palabra 12,Palabra 13,Palabra 14,Palabra 15,Palabra 16,Palabra 17,Palabra 18,Palabra 19,Palabra 20,Palabra 21,Palabra 22,Palabra 23
30/04/2026,2026,La bestia en mí: Miniserie: No quiero estar solo,Serie,jueves,La,bestia,en,mí:,Miniserie:,No,quiero,estar,solo,,,,,,,,,,,,,,
27/04/2026,2026,La bestia en mí: Miniserie: Cachorro enfermo,Serie,lunes,La,bestia,en,mí:,Miniserie:,Cachorro,enfermo,,,,,,,,,,,,,,,,
24/04/2026,2026,En fuga: Miniserie: Esto queda entre nosotros,Serie,viernes,En,fuga:,Miniserie:,Esto,queda,entre,nosotros,,,,,,,,,,,,,,,,
22/04/2026,2026,En fuga: Miniserie: Si yo hubiera,Serie,miércoles,En,fuga:,Miniserie:,Si,yo,hubiera,,,,,,,,,,,,,,,,,
20/04/2026,2026,En fuga: Miniserie: El hombre que conocí,Serie,lunes,En,fuga:,Miniserie:,El,hombre,que,conocí,,,,,,,,,,,,,,,,
13/04/2026,2026,En fuga: Miniserie: Por siempre la verdad brillante,Serie,lunes,En,fuga:,Miniserie:,Por,siempre,la,verdad,brillante,,,,,,,,,,,,,,,
12/04/2026,2026,En fuga: Miniserie: Otra época,Serie,domingo,En,fuga:,Miniserie:,Otra,época,,,,,,,,,,,,,,,,,,
11/04/2026,2026,En fuga: Miniserie: La última gota,Serie,sábado,En,fuga:,Miniserie:,La,última,gota,,,,,,,,,,,,,,,,,
09/04/2026,2026,En fuga: Miniserie: Tatuajes mientras esperas,Serie,jueves,En,fuga:,Miniserie:,Tatuajes,mientras,esperas,,,,,,,,,,,,,,,,,
09/04/2026,2026,En fuga: Miniserie: Ver para creer,Serie,jueves,En,fuga:,Miniserie:,Ver,para,creer,,,,,,,,,,,,,,,,,
07/04/2026,2026,Él y ella: Miniserie: Episodio 6,Serie,martes,Él,y,ella:,Miniserie:,Episodio,6,,,,,,,,,,,,,,,,,
07/04/2026,2026,Él y ella: Miniserie: Episodio 5,Serie,martes,Él,y,ella:,Miniserie:,Episodio,5,,,,,,,,,,,,,,,,,
04/04/2026,2026,Él y ella: Miniserie: Episodio 4,Serie,sábado,Él,y,ella:,Miniserie:,Episodio,4,,,,,,,,,,,,,,,,,
04/04/2026,2026,Él y ella: Miniserie: Episodio 3,Serie,sábado,Él,y,ella:,Miniserie:,Episodio,3,,,,,,,,,,,,,,,,,
03/04/2026,2026,Él y ella: Miniserie: Episodio 2,Serie,viernes,Él,y,ella:,Miniserie:,Episodio,2,,,,,,,,,,,,,,,,,
03/04/2026,2026,Él y ella: Miniserie: Episodio 1,Serie,viernes,Él,y,ella:,Miniserie:,Episodio,1,,,,,,,,,,,,,,,,,
01/04/2026,2026,El Monstruo de Florencia: Miniserie: Episodio 3,Serie,miércoles,El,Monstruo,de,Florencia:,Miniserie:,Episodio,3,,,,,,,,,,,,,,,,
01/04/2026,2026,El Monstruo de Florencia: Miniserie: Episodio 2,Serie,miércoles,El,Monstruo,de,Florencia:,Miniserie:,Episodio,2,,,,,,,,,,,,,,,,
01/04/2026,2026,El Monstruo de Florencia: Miniserie: Episodio 1,Serie,miércoles,El,Monstruo,de,Florencia:,Miniserie:,Episodio,1,,,,,,,,,,,,,,,,
31/03/2026,2026,Vigilante: El tormento,Serie,martes,Vigilante:,El,tormento,,,,,,,,,,,,,,,,,,,,
31/03/2026,2026,Vigilante: El crepúsculo,Serie,martes,Vigilante:,El,crepúsculo,,,,,,,,,,,,,,,,,,,,
31/03/2026,2026,Vigilante: La navaja de Ockham,Serie,martes,Vigilante:,La,navaja,de,Ockham,,,,,,,,,,,,,,,,,,
31/03/2026,2026,Vigilante: Alguien vigila,Serie,martes,Vigilante:,Alguien,vigila,,,,,,,,,,,,,,,,,,,,
31/03/2026,2026,Vigilante: Götterdämmerung,Serie,martes,Vigilante:,Götterdämmerung,,,,,,,,,,,,,,,,,,,,,
29/03/2026,2026,Vigilante: Sacrificio de sangre,Serie,domingo,Vigilante:,Sacrificio,de,sangre,,,,,,,,,,,,,,,,,,,
29/03/2026,2026,"Vigilante: Bienvenidos, amigos",Serie,domingo,Vigilante:,"Bienvenidos,",amigos,,,,,,,,,,,,,,,,,,,,
28/03/2026,2026,Observados,Película,sábado,Observados,,,,,,,,,,,,,,,,,,,,,,
27/03/2026,2026,Monstruo: La historia de Ed Gein: ¡Madre!,Película,viernes,Monstruo:,La,historia,de,Ed,Gein:,¡Madre!,,,,,,,,,,,,,,,,
26/03/2026,2026,En el barro: Temporada 2: Episodio 8,Serie,jueves,En,el,barro:,Temporada,2:,Episodio,8,,,,,,,,,,,,,,,,
26/03/2026,2026,En el barro: Temporada 2: Episodio 7,Serie,jueves,En,el,barro:,Temporada,2:,Episodio,7,,,,,,,,,,,,,,,,
26/03/2026,2026,En el barro: Temporada 2: Episodio 6,Serie,jueves,En,el,barro:,Temporada,2:,Episodio,6,,,,,,,,,,,,,,,,
25/03/2026,2026,En el barro: Temporada 2: Episodio 5,Serie,miércoles,En,el,barro:,Temporada,2:,Episodio,5,,,,,,,,,,,,,,,,
25/03/2026,2026,En el barro: Temporada 2: Episodio 4,Serie,miércoles,En,el,barro:,Temporada,2:,Episodio,4,,,,,,,,,,,,,,,,
24/03/2026,2026,En el barro: Temporada 2: Episodio 3,Serie,martes,En,el,barro:,Temporada,2:,Episodio,3,,,,,,,,,,,,,,,,
24/03/2026,2026,En el barro: Temporada 2: Episodio 2,Serie,martes,En,el,barro:,Temporada,2:,Episodio,2,,,,,,,,,,,,,,,,
19/03/2026,2026,Stranger Things: Stranger Things 5: Capítulo ocho: Este Lado,Serie,jueves,Stranger,Things:,Stranger,Things,5:,Capítulo ocho:,Este,Lado,,,,,,,,,,,,,,,
18/03/2026,2026,Stranger Things: Stranger Things 5: Capítulo siete: El puente,Serie,miércoles,Stranger,Things:,Stranger,Things,5:,Capítulo siete:,El,puente,,,,,,,,,,,,,,,
15/03/2026,2026,En el barro: Temporada 2: Episodio 1,Serie,domingo,En,el,barro:,Temporada,2:,Episodio,1,,,,,,,,,,,,,,,,
12/03/2026,2026,Stranger Things: Stranger Things 5: Capítulo seis: La huida de Camazotz,Serie,jueves,Stranger,Things:,Stranger,Things,5:,Capítulo seis:,La,huida,de Camazotz,,,,,,,,,,,,,,
11/03/2026,2026,Stranger Things: Stranger Things 5: Capítulo cinco: Electrochoque,Serie,miércoles,Stranger,Things:,Stranger,Things,5:,Capítulo cinco:,Electrochoque,,,,,,,,,,,,,,,,
02/03/2026,2026,Stranger Things: Stranger Things 5: Capítulo cuatro: Hechicero,Serie,lunes,Stranger,Things:,Stranger,Things,5:,Capítulo cuatro:,Hechicero,,,,,,,,,,,,,,,,
28/02/2026,2026,Wake Up Dead Man: Un misterio de Knives Out,Película,sábado,Wake,Up,Dead,Man:,Un,misterio,de,Knives,Out,,,,,,,,,,,,,,
22/02/2026,2026,Damsel,Película,domingo,Damsel,,,,,,,,,,,,,,,,,,,,,,
21/02/2026,2026,Estado eléctrico,Película,sábado,Estado,eléctrico,,,,,,,,,,,,,,,,,,,,,
21/02/2026,2026,Stranger Things: Stranger Things 5: Capítulo tres: La trampa de Turnbow,Serie,sábado,Stranger,Things:,Stranger,Things,5:,Capítulo tres:,La,trampa,de,Turnbow,,,,,,,,,,,,,
14/02/2026,2026,Tornados,Película,sábado,Tornados,,,,,,,,,,,,,,,,,,,,,,
08/02/2026,2026,Stranger Things: Stranger Things 5: Capítulo Dos: La Desaparición de Holly Wheeler,Serie,domingo,Stranger,Things:,Stranger,Things,5:,Capítulo,Dos:,La,Desaparición,de,Holly,Wheeler,,,,,,,,,,,
01/02/2026,2026,Stranger Things: Stranger Things 5: Capítulo uno: La misión,Serie,domingo,Stranger,Things:,Stranger,Things,5:,Capítulo uno:,La,misión,,,,,,,,,,,,,,,
01/02/2026,2026,Paradise,Película,domingo,Paradise,,,,,,,,,,,,,,,,,,,,,,
18/01/2026,2026,El botín,Película,domingo,El,botín,,,,,,,,,,,,,,,,,,,,,
11/01/2026,2026,Guerra civil,Película,domingo,Guerra,civil,,,,,,,,,,,,,,,,,,,,,
21/12/2025,2025,Rebel Ridge,Película,domingo,Rebel,Ridge,,,,,,,,,,,,,,,,,,,,,
8/12/2025,2025,Trol,Película,lunes,Trol,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,2025,Un robo muy navideño,Película,domingo,Un,robo,muy,navideño,,,,,,,,,,,,,,,,,,,
30/11/2025,2025,Pequeños secretos,Película,domingo,Pequeños,secretos,,,,,,,,,,,,,,,,,,,,,
29/11/2025,2025,Stranger Things: Stranger Things 3: Capítulo siete: La picadura,Serie,sábado,Stranger,Things:,Stranger,Things,3:,Capítulo,siete:,La,picadura,,,,,,,,,,,,,,
29/11/2025,2025,Stranger Things: Stranger Things 3: Capítulo seis: E pluribus unum,Serie,sábado,Stranger,Things:,Stranger,Things,3:,Capítulo,seis:,E,pluribus,unum,,,,,,,,,,,,,
25/11/2025,2025,Stranger Things: Stranger Things 3: Capítulo cinco: Los desollados,Serie,martes,Stranger,Things:,Stranger,Things,3:,Capítulo,cinco:,Los,desollados,,,,,,,,,,,,,,
25/11/2025,2025,Stranger Things: Stranger Things 3: Capítulo cuatro: La prueba del sauna,Serie,martes,Stranger,Things:,Stranger,Things,3:,Capítulo,cuatro:,La,prueba,del,sauna,,,,,,,,,,,,
24/11/2025,2025,Stranger Things: Stranger Things 3: Capítulo tres: El caso de la guardavidas perdida,Serie,lunes,Stranger,Things:,Stranger,Things,3:,Capítulo,tres:,El,caso,de,la,guardavidas,perdida,,,,,,,,,,
24/11/2025,2025,Stranger Things: Stranger Things 3: Capítulo dos: Ratas de centro comercial,Serie,lunes,Stranger,Things:,Stranger,Things,3:,Capítulo,dos:,Ratas,de,centro,comercial,,,,,,,,,,,,
24/11/2025,2025,"Stranger Things: Stranger Things 3: Capítulo uno: ¿Me copias, Suzie?",Serie,lunes,Stranger,Things:,Stranger,Things,3:,Capítulo,uno:,¿Me,"copias,",Suzie?,,,,,,,,,,,,,
24/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo nueve: El portal,Serie,lunes,Stranger,Things:,Stranger,Things,2:,Capítulo,nueve:,El,portal,,,,,,,,,,,,,,
24/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo ocho: El azotamentes,Serie,lunes,Stranger,Things:,Stranger,Things,2:,Capítulo,ocho:,El,azotamentes,,,,,,,,,,,,,,
24/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo siete: La hermana perdida,Serie,lunes,Stranger,Things:,Stranger,Things,2:,Capítulo,siete:,La,hermana,perdida,,,,,,,,,,,,,
24/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo seis: El espía,Serie,lunes,Stranger,Things:,Stranger,Things,2:,Capítulo,seis:,El,espía,,,,,,,,,,,,,,
23/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug,Serie,domingo,Stranger,Things:,Stranger,Things,2:,Capítulo,cinco:,Dig,Dug,,,,,,,,,,,,,,
23/11/2025,2025,"Stranger Things: Stranger Things 2: Capítulo cuatro: Will, el Sabio",Serie,domingo,Stranger,Things:,Stranger,Things,2:,Capítulo,cuatro:,"Will,",el,Sabio,,,,,,,,,,,,,
23/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo tres: El renacuajo,Serie,domingo,Stranger,Things:,Stranger,Things,2:,Capítulo,tres:,El,renacuajo,,,,,,,,,,,,,,
23/11/2025,2025,"Stranger Things: Stranger Things 2: Capítulo dos: Dulce o truco, bicho raro",Serie,domingo,Stranger,Things:,Stranger,Things,2:,Capítulo,dos:,Dulce,o,"truco,",bicho,raro,,,,,,,,,,,
23/11/2025,2025,Stranger Things: Stranger Things 2: Capítulo uno: MADMAX,Serie,domingo,Stranger,Things:,Stranger,Things,2:,Capítulo,uno:,MADMAX,,,,,,,,,,,,,,,
23/11/2025,2025,Stranger Things: Capítulo ocho: El otro lado,Serie,domingo,Stranger,Things:,Capítulo,ocho:,El,otro,lado,,,,,,,,,,,,,,,,
23/11/2025,2025,Stranger Things: Capítulo siete: La bañera,Serie,domingo,Stranger,Things:,Capítulo,siete:,La,bañera,,,,,,,,,,,,,,,,,
23/11/2025,2025,Stranger Things: Capítulo seis: El monstruo,Serie,domingo,Stranger,Things:,Capítulo,seis:,El,monstruo,,,,,,,,,,,,,,,,,
22/11/2025,2025,Stranger Things: Capítulo cinco: La pulga y el acróbata,Serie,sábado,Stranger,Things:,Capítulo,cinco:,La,pulga,y,el,acróbata,,,,,,,,,,,,,,
22/11/2025,2025,Stranger Things: Capítulo cuatro: El cuerpo,Serie,sábado,Stranger,Things:,Capítulo,cuatro:,El,cuerpo,,,,,,,,,,,,,,,,,
22/11/2025,2025,Stranger Things: Capítulo tres: Todo está bien,Serie,sábado,Stranger,Things:,Capítulo,tres:,Todo,está,bien,,,,,,,,,,,,,,,,
22/11/2025,2025,Stranger Things: Capítulo dos: La loca de la calle Maple,Serie,sábado,Stranger,Things:,Capítulo,dos:,La,loca,de,la,calle,Maple,,,,,,,,,,,,,
22/11/2025,2025,Stranger Things: Capítulo uno: La desaparición de Will Byers,Serie,sábado,Stranger,Things:,Capítulo uno:,La,desaparición,de,Will Byers,,,,,,,,,,,,,,,,
22/11/2025,2025,La casa de muñecas de Gabby: Temporada 12: El mago de Miau,Serie,sábado,La,casa,de,muñecas,de,Gabby:,Temporada,12:,El,mago,de,Miau,,,,,,,,,,,
22/11/2025,2025,Gladiador II,Película,sábado,Gladiador,II,,,,,,,,,,,,,,,,,,,,,
27/09/2025,2025,Sirenas: Miniserie: Monstruo,Serie,sábado,Sirenas:,Miniserie:,Monstruo,,,,,,,,,,,,,,,,,,,,
18/09/2025,2025,Sirenas: Miniserie: Garras,Serie,jueves,Sirenas:,Miniserie:,Garras,,,,,,,,,,,,,,,,,,,,
15/09/2025,2025,Sirenas: Miniserie: Exilio,Serie,lunes,Sirenas:,Miniserie:,Exilio,,,,,,,,,,,,,,,,,,,,
14/09/2025,2025,En el barro: Temporada 1: Episodio 8,Serie,domingo,En,el,barro:,Temporada,1:,Episodio,8,,,,,,,,,,,,,,,,
14/09/2025,2025,En el barro: Temporada 1: Episodio 7,Serie,domingo,En,el,barro:,Temporada,1:,Episodio,7,,,,,,,,,,,,,,,,
14/09/2025,2025,En el barro: Temporada 1: Episodio 1,Serie,domingo,En,el,barro:,Temporada,1:,Episodio,1,,,,,,,,,,,,,,,,
13/09/2025,2025,En el barro: Temporada 1: Episodio 6,Serie,sábado,En,el,barro:,Temporada,1:,Episodio,6,,,,,,,,,,,,,,,,
13/09/2025,2025,En el barro: Temporada 1: Episodio 5,Serie,sábado,En,el,barro:,Temporada,1:,Episodio,5,,,,,,,,,,,,,,,,
10/09/2025,2025,En el barro: Temporada 1: Episodio 4,Serie,miércoles,En,el,barro:,Temporada,1:,Episodio,4,,,,,,,,,,,,,,,,
08/09/2025,2025,En el barro: Temporada 1: Episodio 3,Serie,lunes,En,el,barro:,Temporada,1:,Episodio,3,,,,,,,,,,,,,,,,
08/09/2025,2025,En el barro: Temporada 1: Episodio 2,Serie,lunes,En,el,barro:,Temporada,1:,Episodio,2,,,,,,,,,,,,,,,,
07/09/2025,2025,División Palermo: Temporada 2: Todos en cuero,Serie,domingo,División,Palermo:,Temporada,2:,Todos,en,cuero,,,,,,,,,,,,,,,,
07/09/2025,2025,División Palermo: Temporada 2: El último sacrificio,Serie,domingo,División,Palermo:,Temporada,2:,El,último,sacrificio,,,,,,,,,,,,,,,,
07/09/2025,2025,División Palermo: Temporada 2: Palermo de rehén,Serie,domingo,División,Palermo:,Temporada,2:,Palermo,de,rehén,,,,,,,,,,,,,,,,
06/09/2025,2025,División Palermo: Temporada 2: ¿Hay un nosotros?,Serie,sábado,División,Palermo:,Temporada,2:,¿Hay,un,nosotros?,,,,,,,,,,,,,,,,
06/09/2025,2025,División Palermo: Temporada 2: Operación Flat White,Serie,sábado,División,Palermo:,Temporada,2:,Operación,Flat,White,,,,,,,,,,,,,,,,
06/09/2025,2025,División Palermo: Temporada 2: Felipe 2.0,Serie,sábado,División,Palermo:,Temporada,2:,Felipe 2.0,,,,,,,,,,,,,,,,,,
24/08/2025,2025,iRehén,Película,domingo,iRehén,,,,,,,,,,,,,,,,,,,,,,
17/08/2025,2025,Familia al instante,Película,domingo,Familia,al,instante,,,,,,,,,,,,,,,,,,,,
30/07/2025,2025,El juego del calamar: Temporada 3: La naturaleza humana,Serie,miércoles,El,juego,del,calamar:,Temporada,3:,La,naturaleza,humana,,,,,,,,,,,,,,
27/07/2025,2025,El juego del calamar: Temporada 3: ○△□,Serie,domingo,El,juego,del,calamar:,Temporada,3:,○△□,,,,,,,,,,,,,,,,
27/07/2025,2025,El juego del calamar: Temporada 3: 222,Serie,domingo,El,juego,del,calamar:,Temporada,3:,222,,,,,,,,,,,,,,,,
26/07/2025,2025,Perdido en la montaña,Película,sábado,Perdido,en,la,montaña,,,,,,,,,,,,,,,,,,,
20/07/2025,2025,El juego del calamar: Temporada 3: No es culpa tuya,Serie,domingo,El,juego,del,calamar:,Temporada,3:,No,es,culpa,tuya,,,,,,,,,,,,,
05/07/2025,2025,El juego del calamar: Temporada 3: Noche estrellada,Serie,sábado,El,juego,del,calamar:,Temporada,3:,Noche,estrellada,,,,,,,,,,,,,,,
29/06/2025,2025,El juego del calamar: Temporada 3: Llaves y cuchillos,Serie,domingo,El,juego,del,calamar:,Temporada,3:,Llaves,y,cuchillos,,,,,,,,,,,,,,
23/06/2025,2025,"Sara, la mujer en las sombras: Episodio 3",Serie,lunes,"Sara,",la,mujer,en,las,sombras:,Episodio,3,,,,,,,,,,,,,,,
23/06/2025,2025,"Sara, la mujer en las sombras: Episodio 2",Serie,lunes,"Sara,",la,mujer,en,las,sombras:,Episodio,2,,,,,,,,,,,,,,,
17/06/2025,2025,Accidente: Temporada 1: Habitaciones vacías,Serie,martes,Accidente:,Temporada,1:,Habitaciones,vacías,,,,,,,,,,,,,,,,,,
16/06/2025,2025,"Sara, la mujer en las sombras: Episodio 1",Serie,lunes,"Sara,",la,mujer,en,las,sombras:,Episodio,1,,,,,,,,,,,,,,,
15/06/2025,2025,Atrapados: Vivimos en la oscuridad,Película,domingo,Atrapados:,Vivimos,en,la,oscuridad,,,,,,,,,,,,,,,,,,
08/06/2025,2025,Mikaela,Película,domingo,Mikaela,,,,,,,,,,,,,,,,,,,,,,
01/06/2025,2025,Jaula,Película,domingo,Jaula,,,,,,,,,,,,,,,,,,,,,,
24/05/2025,2025,Academia de golf: Temporada 1: Encontrar un sueño,Serie,sábado,Academia,de,golf:,Temporada,1:,Encontrar,un,sueño,,,,,,,,,,,,,,,
24/05/2025,2025,Estragos,Película,sábado,Estragos,,,,,,,,,,,,,,,,,,,,,,
19/05/2025,2025,Atrapados: No sabemos nada del mañana,Película,lunes,Atrapados:,No,sabemos,nada,del,mañana,,,,,,,,,,,,,,,,,
19/05/2025,2025,Atrapados: Vivir en el odio tiene un costo muy alto,Película,lunes,Atrapados:,Vivir,en,el,odio,tiene,un,costo,muy,alto,,,,,,,,,,,,,
18/05/2025,2025,Legado: Return,Película,domingo,Legado:,Return,,,,,,,,,,,,,,,,,,,,,
17/05/2025,2025,Atrapados: El diablo es un maestro del disfraz,Película,sábado,Atrapados:,El,diablo,es,un,maestro,del,disfraz,,,,,,,,,,,,,,,
17/05/2025,2025,Atrapados: Culpable hasta que se demuestre lo contrario,Película,sábado,Atrapados:,Culpable,hasta,que,se,demuestre,lo,contrario,,,,,,,,,,,,,,,
17/05/2025,2025,Atrapados: No puedes dañar un muerto,Película,sábado,Atrapados:,No,puedes,dañar,un,muerto,,,,,,,,,,,,,,,,,
