Title,Date
"Día cero: Miniserie: Episodio 6","4/23/25"
"Día cero: Miniserie: Episodio 5","4/21/25"
"Día cero: Miniserie: Episodio 4","4/21/25"
"Día cero: Miniserie: Episodio 3","4/21/25"
"Día cero: Miniserie: Episodio 2","4/20/25"
"Día cero: Miniserie: Episodio 1","4/18/25"
"Black Mirror: Temporada 7: USS Callister: Infinito","4/17/25"
"Black Mirror: Temporada 7: Apología","4/15/25"
"Black Mirror: Temporada 7: Juego","4/15/25"
"Black Mirror: Temporada 7: Hotel Reverie","4/14/25"
"Black Mirror: Temporada 7: Bête Noire","4/14/25"
"Black Mirror: Temporada 7: Una pareja cualquiera","4/13/25"
"Adolescencia: Miniserie: Episodio 4","4/6/25"
"Adolescencia: Miniserie: Episodio 3","4/6/25"
"Adolescencia: Miniserie: Episodio 2","4/3/25"
"Adolescencia: Miniserie: Episodio 1","4/2/25"
"Un lugar en silencio: Día uno","3/21/25"
"El tren de los niños","3/2/25"
"Manifiesto: Temporada 1: Viento cruzado","1/27/25"
"El juego del calamar: Temporada 2: Amigos o enemigos","1/3/25"
"El juego del calamar: Temporada 2: O  X","1/2/25"
"El juego del calamar: Temporada 2: Otra ronda","1/2/25"
"El juego del calamar: Temporada 2: Seis piernas","12/31/24"
"El juego del calamar: Temporada 2: 001","12/31/24"
"El juego del calamar: Temporada 2: Fiesta de Halloween","12/27/24"
"El juego del calamar: Temporada 2: Sustento y azar","12/27/24"
"El juego del calamar: Temporada 1: Infierno","12/27/24"
"Corte en el tiempo","12/26/24"
"La Palma: Miniserie: Despegue","12/21/24"
"La Palma: Miniserie: El pastorcito mentiroso","12/21/24"
"No puedo vivir sin ti","12/21/24"
"Equipaje de mano","12/15/24"
"Merlí: Sapere aude: Temporada 2: Episodio 5","12/9/24"
"Merlí: Sapere aude: Temporada 2: Episodio 8","12/9/24"
"Merlí: Sapere aude: Temporada 2: Episodio 7","12/8/24"
"Merlí: Sapere aude: Temporada 2: Episodio 6","12/8/24"
"Merlí: Sapere aude: Temporada 2: Episodio 4","12/4/24"
"Ahí afuera","12/4/24"
"Merlí: Sapere aude: Temporada 2: Episodio 3","12/3/24"
"Merlí: Sapere aude: Temporada 2: Episodio 2","12/3/24"
"Merlí: Sapere aude: Temporada 2: Episodio 1","12/3/24"
"La singular vida de Ibelin","12/1/24"
"No vengas a casa: Miniserie: No vengas a casa","11/27/24"
"No vengas a casa: Miniserie: 1992","11/26/24"
"No vengas a casa: Miniserie: Panida","11/26/24"
"No vengas a casa: Miniserie: La niña desaparecida","11/26/24"
"No vengas a casa: Miniserie: Fah","11/26/24"
"No vengas a casa: Miniserie: Varee","11/26/24"
"Sense8: Temporada 1: Demonios","11/21/24"
"Transformers: El despertar de las bestias","11/20/24"
"Envidiosa: Temporada 1: Historia clínica","11/18/24"
"No me rompan","11/18/24"
"Love Is Blind: Argentina: Temporada 1: Busco al amor de mi vida","11/18/24"
"La liberación","11/10/24"
"No te muevas","11/10/24"
"Envidiosa: Temporada 1: Rota y Roto","10/28/24"
"Envidiosa: Temporada 1: Todas se casan menos vos","10/28/24"
"Envidiosa: Temporada 1: Pizza Delivery","10/28/24"
"Envidiosa: Temporada 1: El juego de la vida","10/23/24"
"Envidiosa: Temporada 1: Leona pero no campeona","10/23/24"
"Envidiosa: Temporada 1: Ametralladora de likes","10/22/24"
"Envidiosa: Temporada 1: Barrilete cósmico","10/22/24"
"Envidiosa: Temporada 1: Todo sobre Vicky","10/21/24"
"Prison Break: Temporada 5: Detrás de los ojos","10/15/24"
"Prison Break: Temporada 5: Progenie","10/15/24"
"Prison Break: Temporada 5: Un mar de color vino oscuro","10/15/24"
"Prison Break: Temporada 5: Kaniel Outis","10/15/24"
"Propuesta laboral: Miniserie: Episodio 8","10/1/24"
"Propuesta laboral: Miniserie: Episodio 9","9/29/24"
"Propuesta laboral: Miniserie: Episodio 7","9/29/24"
"Propuesta laboral: Miniserie: Episodio 6","9/29/24"
"Propuesta laboral: Miniserie: Episodio 5","9/29/24"
"Propuesta laboral: Miniserie: Episodio 1","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 70","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 69","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 68","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 67","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 66","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 65","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 64","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 63","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 62","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 61","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 60","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 59","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 58","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 57","9/29/24"
"Rosario Tijeras: Temporada 3: Episodio 56","9/29/24"
"Merlí: Sapere aude: Temporada 1: Episodio 3","9/27/24"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El rey de Omashu","9/19/24"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: Los guerreros de Kyoshi","9/19/24"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El templo del Aire del Sur","9/19/24"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El Avatar regresa","9/19/24"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El niño en el iceberg","9/19/24"
"Heartstopper: Temporada 1: El secreto","9/8/24"
"Heartstopper: Temporada 1: El beso","9/8/24"
"Heartstopper: Temporada 1: La atracción","9/8/24"
"Heartstopper: Temporada 1: El encuentro","9/8/24"
"Heartstopper: Temporada 2: Salir del clóset","9/8/24"
"Merlí: Sapere aude: Temporada 1: Episodio 2","9/6/24"
"Merlí: Sapere aude: Temporada 1: Episodio 1","9/6/24"
"Mi otra yo: Temporada 2: Episodio 3","9/3/24"
"Mi otra yo: Temporada 2: Episodio 2","9/3/24"
"Mi otra yo: Temporada 2: Episodio 1","9/3/24"
"Niebla sin fronteras","8/10/24"
"No respires 2","7/28/24"
"tick, tick...BOOM!","7/13/24"
"Olvidado","6/16/24"
"Bridgerton: Temporada 1: El duque y yo","6/12/24"
"Bridgerton: Temporada 1: Un asunto de honor","6/11/24"
"La herencia tiene un precio","6/9/24"
"Bridgerton: Temporada 1: El arte del desmayo","6/7/24"
"Bridgerton: Temporada 1: Sorprende y encanta","6/6/24"
"Una familia normal: Miniserie: Capítulo seis","5/29/24"
"Una familia normal: Miniserie: Capítulo cinco","5/29/24"
"Una familia normal: Miniserie: Capítulo cuatro","5/29/24"
"Una familia normal: Miniserie: Capítulo tres","5/29/24"
"Una familia normal: Miniserie: Capítulo dos","5/29/24"
"Una familia normal: Miniserie: Capítulo uno","5/28/24"
"The 8 Show: Miniserie: Episodio 1","5/28/24"
"Bridgerton: Temporada 1: Diamante de primera","5/22/24"
"El caso Asunta: Miniserie: 26 de septiembre","5/15/24"
"El caso Asunta: Miniserie: 24 de septiembre","5/15/24"
"El caso Asunta: Miniserie: 21 de septiembre","5/15/24"
"Preguntados: Charlemos sobre pelis","5/8/24"
"Dos más dos","5/3/24"
"Bebé reno: Miniserie: Episodio 7","5/2/24"
"Bebé reno: Miniserie: Episodio 6","5/2/24"
"Bebé reno: Miniserie: Episodio 5","5/2/24"
"Bebé reno: Miniserie: Episodio 4","5/2/24"
"Bebé reno: Miniserie: Episodio 3","5/2/24"
"Bebé reno: Miniserie: Episodio 2","5/2/24"
"Bebé reno: Miniserie: Episodio 1","5/2/24"
"Secuestro del vuelo 601: La mujer que sabía demasiado","4/15/24"
"Secuestro del vuelo 601: 601: Odisea aeroespacial","4/15/24"
"Secuestro del vuelo 601: Los condenados de la tierra","4/15/24"
"Secuestro del vuelo 601: Noche de perros","4/15/24"
"Secuestro del vuelo 601: Con la muerte en los tacones","4/14/24"
"Secuestro del vuelo 601: Que el cielo la juzgue","4/14/24"
"Entre tierras: Episodio 1","4/14/24"
"El problema de los 3 cuerpos: Temporada 1: Proyecto Vallado","4/8/24"
"El problema de los 3 cuerpos: Temporada 1: Un avance","4/3/24"
"El problema de los 3 cuerpos: Temporada 1: Estrellas Destino Nuestro","4/1/24"
"El problema de los 3 cuerpos: Temporada 1: Juicio Final","4/1/24"
"El problema de los 3 cuerpos: Temporada 1: Su Señoría","4/1/24"
"El problema de los 3 cuerpos: Temporada 1: Destructor de mundos","3/31/24"
"El problema de los 3 cuerpos: Temporada 1: Costa Roja","3/31/24"
"El problema de los 3 cuerpos: Temporada 1: Cuenta regresiva","3/30/24"
"Avatar: La leyenda de Aang: Temporada 1: Máscaras","3/10/24"
"Avatar: La leyenda de Aang: Temporada 1: Aang","3/10/24"
"Ruega por nosotros","3/5/24"
"Machos alfa: Temporada 1: La que has liado","3/5/24"
"Machos alfa: Temporada 1: Heteroflexibles sensibles","3/5/24"
"Machos alfa: Temporada 1: Hierbas ibicencas","3/5/24"
"Machos alfa: Temporada 1: Masculinidad tóxica","3/5/24"
"Machos alfa: Temporada 1: Lo que te absorbe es la vida","3/5/24"
"Machos alfa: Temporada 1: En deconstrucción","3/5/24"
"La langosta","2/27/24"
"Alma mía","2/26/24"
"El puente maldito: Ritual","2/22/24"
"The Crown: Temporada 6: Duerme, cielo, duerme","2/22/24"
"The Crown: Temporada 6: La calle Hope","2/22/24"
"La niñera: Mi Bella Nana","2/22/24"
"La niñera: El Mayordomo, El Esposo...","2/22/24"
"Yo soy Simón","2/20/24"
"Igualita a mí","2/19/24"
"El abismo de Kiruna","2/18/24"
"The Crown: Temporada 6: Ritz","2/18/24"
"Lift: Un robo de primera clase","2/17/24"
"El turista: Temporada 1: Episodio 1","2/14/24"
"The Walking Dead: Temporada 8: Monstruos","2/14/24"
"Ruido mental","2/13/24"
"Siempre el mismo día: Miniserie: Episodio 7","2/10/24"
"Siempre el mismo día: Miniserie: Episodio 6","2/10/24"
"Siempre el mismo día: Miniserie: Episodio 5","2/10/24"
"Siempre el mismo día: Miniserie: Episodio 4","2/10/24"
"Siempre el mismo día: Miniserie: Episodio 3","2/10/24"
"Siempre el mismo día: Miniserie: Episodio 2","2/10/24"
"Siempre el mismo día: Miniserie: Episodio 1","2/10/24"
"El turista: Temporada 1: Episodio 2","2/9/24"
"Lado oscuro del deseo","2/9/24"
"Cuestión de Sangre","2/4/24"
"Muertos para mí: Temporada 3: Llegamos al final","2/3/24"
"Muertos para mí: Temporada 3: Nos estamos quedando sin tiempo","2/3/24"
"Muertos para mí: Temporada 3: Encontraremos la manera","2/2/24"
"Muertos para mí: Temporada 3: ¿Podemos hablar con honestidad?","2/2/24"
"Muertos para mí: Temporada 3: Vamos a ganarle a esto","2/1/24"
"Muertos para mí: Temporada 3: No lo pensamos bien","1/31/24"
"Muertos para mí: Temporada 3: ¿Hacia dónde vamos ahora?","1/31/24"
"Muertos para mí: Temporada 3: Mira lo que tenemos aquí","1/31/24"
"Cazadores en tierra inhóspita","1/30/24"
"Chico come universo: Miniserie: Chico huele rata","1/30/24"
"Griselda: Miniserie: El paraíso perdido","1/26/24"
"Jaula mental","1/25/24"
"Muertos para mí: Temporada 3: Tenemos que hablar","1/25/24"
"Muertos para mí: Temporada 3: Ya pasamos por esto","1/25/24"
"Pesadilla de un secuestro en California: Tercera parte: Los otros","1/24/24"
"Pesadilla de un secuestro en California: Segunda parte: Perdida","1/22/24"
"Pesadilla de un secuestro en California: Primera parte: El novio","1/22/24"
"Dejar el mundo atrás","1/20/24"
"Capitanes del mundo: Grandes esperanzas","1/14/24"
"Matilda","1/12/24"
"Engaños: Miniserie: Episodio 8","1/9/24"
"Engaños: Miniserie: Episodio 7","1/9/24"
"Engaños: Miniserie: Episodio 6","1/7/24"
"Engaños: Miniserie: Episodio 5","1/7/24"
"Engaños: Miniserie: Episodio 4","1/7/24"
"Engaños: Miniserie: Episodio 3","1/7/24"
"Engaños: Miniserie: Episodio 2","1/7/24"
"Engaños: Miniserie: Episodio 1","1/5/24"
"La sociedad de la nieve","1/4/24"
"Berlín y las joyas de París: Miniserie: Un elefante en peligro de extinción","1/4/24"
"Berlín y las joyas de París: Miniserie: La última virgen de occidente","1/4/24"
"Berlín y las joyas de París: Miniserie: La noche de los limones","1/4/24"
"Berlín y las joyas de París: Miniserie: After Love","1/3/24"
"Berlín y las joyas de París: Miniserie: Un aquarium en la espalda","1/3/24"
"Berlín y las joyas de París: Miniserie: Póker de embriones","1/3/24"
"La casa de papel: Parte 5: Una tradición familiar","1/2/24"
"Yo, adolescente","1/2/24"
"Éxodo: Dioses y reyes","1/2/24"
"Berlín y las joyas de París: Miniserie: El ancla y el lobo","1/2/24"
"Berlín y las joyas de París: Miniserie: La energía del amor","1/2/24"
"The Crown: Temporada 6: Alma mater","1/2/24"
"Una mujer fantástica","1/1/24"
"The Crown: Temporada 6: Ruritania","1/1/24"
"El Ratón Pérez","12/31/23"
"The Crown: Temporada 6: El fenómeno Guillermo","12/31/23"
"Queer Eye: Temporada 7: Steph, la superfan","12/30/23"
"Queer Eye: Temporada 7: Queer Eye para los Lambda Chi","12/30/23"
"Un día en el paraíso","12/26/23"
"El Grinch","12/26/23"
"Permitidos","12/25/23"
"Sangriento San Valentín","12/25/23"
"Dibu 2: La venganza de Nasty","12/24/23"
"Dibu 1: La película","12/22/23"
"Pollitos en fuga: El origen de los nuggets","12/21/23"
"Nadie","12/17/23"
"La niñera: La Guardabosques","12/17/23"
"La niñera: Negocios Personales","12/17/23"
"La niñera: Cazorio","12/17/23"
"La niñera: Chao, Pucho","12/17/23"
"La niñera: Lanus 1 - Parque Barrio 0","12/17/23"
"Mar de fondo: Temporada 1: ¡Bienvenido a Knokke, p*rra!","12/16/23"
"Dubai Bling: Temporada 2: De vuelta en la ciudad del lujo","12/16/23"
"El juego del calamar: El desafío: Temporada 1: Un día de suerte","12/13/23"
"Los tres mosqueteros: D'Artagnan","12/3/23"
"The Crown: Temporada 6: Secuelas","12/1/23"
"The Crown: Temporada 6: Dis‑Moi Oui","12/1/23"
"El juego del calamar: El desafío: Temporada 1: Círculo de confianza","12/1/23"
"El juego del calamar: El desafío: Temporada 1: Un paso más","11/29/23"
"El juego del calamar: El desafío: Temporada 1: Amigos y enemigos","11/29/23"
"El juego del calamar: El desafío: Temporada 1: Adiós","11/29/23"
"El juego del calamar: El desafío: Temporada 1: Dulce o truco","11/29/23"
"El juego del calamar: El desafío: Temporada 1: Sin escapatoria","11/29/23"
"El juego del calamar: El desafío: Temporada 1: Guerra","11/29/23"
"El juego del calamar: El desafío: Temporada 1: El hombre del paraguas","11/29/23"
"El juego del calamar: El desafío: Temporada 1: Luz roja, luz verde","11/29/23"
"El asesino","11/29/23"
"El gran terremoto","11/29/23"
"Elena sabe","11/26/23"
"Jules","11/23/23"
"El juego del calamar: Temporada 1: Luz roja, luz verde","11/23/23"
"The Crown: Temporada 6: Dos fotografías","11/23/23"
"The Crown: Temporada 6: Persona non grata","11/22/23"
"Mejor Navidad, ¡imposible!","11/20/23"
"Monster Hunter: La cacería comienza","11/20/23"
"Viudas","11/18/23"
"Elige o muere","11/17/23"
"Mamá se fue de viaje","11/14/23"
"Me casé con un boludo","11/11/23"
"Terror en el mar","11/11/23"
"Criptoboy","11/10/23"
"Stuart Little: Un ratón en la familia","11/10/23"
"El juego del miedo V","11/7/23"
"Alvin y las ardillas 3","11/5/23"
"Venganza","11/4/23"
"Élite: Temporada 7: Voy a acabar con esto para siempre","10/30/23"
"Élite: Temporada 7: Solo abrázame","10/30/23"
"Papás a la antigua","10/28/23"
"Los Juegos del Hambre: En llamas","10/28/23"
"Élite: Temporada 7: Tocar fondo","10/25/23"
"La vida en nuestro planeta: Capítulo 1: Las reglas de la vida","10/25/23"
"Lemony Snicket, una serie de eventos desafortunados","10/24/23"
"Élite: Temporada 7: La familia","10/23/23"
"Élite: Temporada 7: Punto y coma","10/23/23"
"Élite: Temporada 7: Bling‑Bling","10/23/23"
"Miniespías","10/23/23"
"Élite: Temporada 7: Protocolo","10/22/23"
"Élite: Temporada 7: Las Encinas","10/22/23"
"Scary movie 3: No hay dos sin 3","10/21/23"
"Juicio al diablo","10/21/23"
"Élite: Temporada 6: Separación","10/21/23"
"Scary Movie 2: Otra película de miedo","10/19/23"
"Chicas pesadas","10/19/23"
"Stuart Little 2: La aventura continúa","10/18/23"
"Lupin: Parte 2: Capítulo 7","10/18/23"
"Lupin: Parte 2: Capítulo 6","10/18/23"
"Mi otra yo: Temporada 1: Episodio 2","10/11/23"
"Norbit","10/10/23"
"Mi otra yo: Temporada 1: Episodio 1","10/10/23"
"El plan del diablo: Temporada 1: Episodio 2","10/9/23"
"El plan del diablo: Temporada 1: Episodio 1","10/9/23"
"True Blood: Huida de la guarida del dragón","10/9/23"
"True Blood: Mía","10/6/23"
"True Blood: El primer sorbo","10/6/23"
"True Blood: Extraño amor","10/6/23"
"Un lugar en silencio: Parte II","10/6/23"
"¡No estás invitada a mi bat mitzvá!","10/3/23"
"El Lórax: En busca de la trúfula perdida","10/3/23"
"Nowhere","10/3/23"
"Sex Education: Temporada 4: Episodio 8","10/1/23"
"Jóvenes brujas: Nueva hermandad","10/1/23"
"Sex Education: Temporada 4: Episodio 4","9/30/23"
"Sex Education: Temporada 4: Episodio 3","9/29/23"
